"das_voyage_id","type_of_ship","particulars"
"95364","","See the MORGENSTER (4291)."
"95671","","According to K.A. 4390a the departing crew consisted of 174 men. The JUFFROUW JOHANNA called at S. Tiago, 25-03-till 03-04-1789. In 1793 or 1794 the ship was sold at Batavia."
"97514","",""
"97307","",""
"91279","",""
"96061","",""
"93917","","At Portsmouth from 24-05 till 30-05-1732. At S. Tiago from O5-07 till 14-07-1732; 6 soldiers from SLOT TER HOGE (2877) came aboard. Laid up at Batavia on 04-07-1738."
"94036","",""
"96000","","Stayed for 3 months at Mauritius; forced by a heavy storm to sail to Plymouth, January 1626."
"96694","pinas","Via Anjouan one of the Comoro Islands (14-05-1684); in 1685 laid up in patria."
"92037","",""
"98532","","Crew at the Cape: 113."
"92111","jacht","At the Cape 2 soldiers came on board from the ALPHEN. Sold in 1671."
"98774","",""
"98455","","Crew at the Cape: 112."
"93108","fluit",""
"99084","","Among the 11 passengers were 4 female slaves."
"98419","","The five passengers included two condemned persons."
"95361","",""
"92080","jacht","Laid up at Ceylon in 1669."
"93593","","The ship was lost between the Cape and Batavia."
"94694","","The HERSTELDER called at Portsmouth from 07 till 17-11-1754, where one seafarer deserted, another seafarer died. Two of the 17 seafarers who disembarked at the Cape deserted. The HERSTELDER was sold in the Indies on 06-08-1762."
"94699","","The 9 passengers included 3 slaves (one male and two females). The VOORLAND called at Duins (08 till 19-11) and at Portsmouth (20-11 till 19-12-1754); at Portsmouth 3 seafarers and one soldier were pressed by the English, one seafarer deserted, one craftsman died. During the voyage one soldier probably became a seafarer."
"95873","",""
"92352","","Via Cape Lopez, Sao Tomé and Saldanha Bay. Acc. to Daghreg. 1675 the ship departed on 10-02-1675 from the Cape."
"93165","fluit",""
"96824","","Acc. to K.A. 4009 the crew consisted of 120 men."
"96501","",""
"97114","fluit",""
"96783","","Badly damaged by storm the CHINA had to wait at Mauritius for materials from the Cape. It left the island on 08-11-1690."
"96923","pinas","Jakob Onkruid was commandeur of the return fleet (6037-6039)."
"91565","fluit","The ship was driven out of its course and landed in the West Indies. Via Fayal (Madeira). It returned in May 1668. See also 1102."
"97003","fregat","According to K.A. 1563, fol. 1579 a call at the Cape was not allowed."
"95286","","See the BEEKVLIET (4232)."
"91130","",""
"94486","","The SLOTEN carried f  150,000 in cash."
"96381","",""
"95621","fluit",""
"97544","fluit","The master was schout-bij-nacht of the return fleet."
"97047","",""
"95582","","According to K.A. 4304 the departing crew consisted of 262 men. The BARBESTEIN called at Duins, 28-11-1786 till 07-01-1787 where a mutiny was discovered. The BARBESTEIN went on to China. See the TRITON (4517)."
"97880","","The master was vice-commandeur of the return fleet."
"97957","paketboot",""
"92434","fluit","The seafarers were shipowner's men."
"97525","",""
"94791","","The 6 passengers included one slave; he disembarked at the Cape. Before the LIEFDE arrived at Batavia 55 soldiers were taken over by the LEIDEN, which since January 1759 was on service in the inter-Asiatic trade (see 3730)."
"94727","","From 04 till 24-01-1756 the BEVALLIGHEID called at Duins."
"92600","pinas",""
"98492","","The NOORD-BEVELAND did not call at the Cape but at False Bay. Crew at False Bay: 106."
"97850","","The 91 men aboard the RE1GERSBROEK included 71 seafarers. The ship was wrecked off Zeeland and smashed against the Westkapelsedijk."
"99214","","Crew at Cape: 180."
"97742","",""
"93462","hoeker","The METEREN probably returned to patria shortly after departure, see 2425 and 2547."
"91119","","With the death of Le Fort (26-06) the RAM was sold to the V.O.C. and put under the command of Sebald de Weert (see 0067-69)."
"97074","",""
"97195","","According to N.A. 1902, XXVI, 94 the value of the cargo was 295,773."
"98396","","Crew at the Cape: 125."
"94864","","The LANGEWIJK was laid up and sold at Batavia, 14-01-1768."
"99128","","See also the MAKASSAR (8342)."
"99140","hoeker","On board the VERWACHTING was J.C. Clemens, commandeur of the fleet, which on 31-05-1793 departed from the Cape (see the ROZENBURG, 8355). During the voyage the VERWACHTING called at Cork in Ireland."
"97026","","Aboard the ZUIDDORP was Pieter Bogaard, vice-commandeur of the return fleet."
"95474","","In 1789 the PRINSES VAN ORANJE was laid up in the Indies. See the HOOLWERF (4419)."
"96627","galjoot","Acc. to Valentijn: cargo 4,157."
"97792","",""
"94710","",""
"98051","","The 83 men aboard the BOSBEEK included 80 seafarers."
"99139","","According to K.A. 4336 Nikolaas Klopper was master. During the voyage the JONKVROUWE SIBILLA ANTHOINETTA called at Cork in Ireland. See also the ROZENBURG (8355)."
"95482","","See the HOOLWERF (4419)."
"94171","","The SLOT KRONENBURG was laid up in the Indies, 11-09-1744."
"95685","hoeker","The STERRESCHANS was bound for the Cape. On 20-05-1793 the ship ran aground at the Cape and was wrecked."
"95651","fluit","From 21 till 24-09-1788 the NOORD-HOLLAND was at S. Tiago."
"96878","","The crew included 6 impotenten."
"95057","","Specified data concerning the crew of the DUIVENBRUG: 248 seafarers, 17 soldiers, 11 craftsmen, and one passenger departed from Texel or embarked at the Cape. See the DAMZICHT (3987)."
"98759","","The 2 passengers were condemned persons."
"91335","jacht",""
"93908","","Laid up at Batavia in 1736."
"98385","","The three passengers included two condemned persons."
"91926","","Via Maio Island."
"95947","",""
"91608","fluit",""
"91589","fluit","37 seafarers were the shipowner's men. Via Saldanha Bay."
"93623","fluit",""
"97588","fluit",""
"94021","","From 05 till 09-06-1735 at Saldanha Bay. Laid up in Bengal on 12-10-1737."
"97956","fluit","According to K.A. 4317 Karsten Hansen Blijk was master."
"94797","","The WAAKZAAMHEID was sold in the Indies on 19-10-1762."
"91339","",""
"98305","",""
"94751","","The 6 passengers who embarked at Texel included one female slave. The LEIMUIDEN called at S. Tiago from 12 till 19-01-1757, where 12 seafarers and one soldier died."
"94134","","From 15 till 30-03-1738 the ship was at S. Tiago. One soldier and one craftsman became seafarers."
"96589","pinas",""
"97591","",""
"91548","pinas","Via S. Tiago (13-09-1666)."
"96546","hoeker","The fleet (5637-5639) from Ceylon under command of Johan de Barra joined the fleet of 20-12-1671 at the Cape. According to K.A. 3984 the combined fleet left the Cape on 19-04-1672."
"96402","","Was wrecked in the Indian Ocean during a storm at 25/26° S. (10-02-1662)."
"91052","",""
"97755","",""
"96411","","First return fleet (5501-5508) under command of Herman Klenke van Odessen aboard the WAPEN VAN AMSTERDAM. At the Cape the MEIBOOM joined the fleet. Unsuccessful voyage of discovery to the non-existent island New Helena."
"98111","","Arrival of the NIEUW WALCHEREN at the Rammekens: 14-09-1745."
"95274","","During the voyage one member of the crew deserted. See also the INDIAAN (4210)."
"96634","fluit",""
"93103","","Taken by the French on 03-06-1708, between the equator and the Cape."
"98043","","The JONGE WILLEM did not call at the Cape but at False Bay."
"92026","",""
"96795","fluit",""
"96173","",""
"98608","","The 111 persons aboard the JERUSALEM included 2 passengers. The ship was laid up at Rotterdam on 08-10-1770."
"94799","","The VROUWE GEERTRUIDA called at S. Tiago from 07 till 14-01-1759, where one seafarer and 6 soldiers died. After arrival at Batavia the ship sailed on to China."
"97648","",""
"94245","",""
"94880","","Between patria and the Cape one seafarer and two soldiers were pressed by the English. The 22 seafarers who went ashore at the Cape included two deserters."
"95289","","See the LANDSKROON (4236). The following data refer to the crew of the POPKENSBURG as well as to the crews of the ZILVEREN LEEUW (4245), the VREEBURG (4246), the CERES (4249), and the WILLEM FREDERIK (4261): one seaferer died at Rammekens; 836 seafarers, 432 soldiers, 69 craftsmen, and 8 passengers departed from Rammekens or embarked at the Cape; during the voyage 2 soldiers were sent back to Middelburg; 722 seafarers, 303 soldiers, 45 craftsmen, and 7 passengers arrived at Batavia."
"94047","","From 16 till 18-01-1736 at Duins; from 19 till 22-01 at Portsmouth. The BOOT (3008) took over one of the seafarers of the SLOT KRONENBURG. The five passengers included two female slaves."
"98889","","At Marseille the DIANA was sold to S. Bérard."
"91120","",""
"95674","paketboot",""
"94284","","One soldier became seafarer."
"95500","fluit","The VREDE was bound for the Cape."
"98307","","In December 1754, after calling at Batavia, the BAARZANDE ran on a rock and was severely damaged; on 18-12 the ship reached Bantam, where it remained for almost three months to be repaired. Another ship, the JAGER, from now on called BAARZANDE, took over its cargo (value: 360,827) and carried it to patria (see 7453). In 1756 the previous BAARZANDE, since March 1755 called JAGER, finally returned to Rammekens (see 7468)."
"94793","",""
"96644","","The 18 impotenten were soldiers."
"97696","",""
"94887","","From 17 till 26-04-1762 the VELSEN was at Duins: 9 seafarers and 2 soldiers were pressed by the English."
"91156","","Purchased from the Admirality of Amsterdam, 1604."
"96086","","Sailed together with the return fleet of Puntmans."
"92781","fluit",""
"95427","","According to K.A. 4390a the crew consisted of 264 men, when the ship departed from Texel. In 1784 the  VROUWE KORNELIA HILLEGONDA was laid up in the Indies."
"98500","","Crew at the Cape: 117."
"92073","",""
"96817","fluit","Acc. to K.A. 4007 the crew consisted of 120 men. At least one passenger was on board."
"91749","fluit","No ports of call; the ship was used as a barrier in the mouth of the Anke. The hull was sold in 1659."
"96110","",""
"96539","pinas",""
"91941","",""
"92655","fluit",""
"98940","","Sailing from the Cape to patria the MERENBERG, the LOO (8121), the ROZENBURG (8122), the ONZEKERE (8130), the GOUVERNEUR-GENERAAL DE CLERCK (8133), the DRAAK (8134), and the JACHTRUST (8142) were escorted by a Dutch man of war."
"95939","jacht","Took over the remaining cargo of the GELDERLAND (5107), BANDA (5105) and PROVINCIËN (5108) and the survivors of the GELDERLAND; from 08-02 till 08-03 at Mauritius."
"93964","","At Lisbon from 08-09 till 15-10-1733; 16 seafarers and 16 soldiers went to the NIEUWE VIS (2925)."
"94925","","The 51 persons who went ashore at the Cape included 5 seafarers and 5 soldiers who deserted. From 22-05 till 07-08-1764 the SCHAGEN was at Tuticorin in India: 15 seafarers and 102 soldiers disembarked, 8 seafarers and 27 soldiers died."
"95347","","The ZUID-BEVELAND called at Duins, 29-08-1777. In 1781 the ship was laid up in the Indies. See the MORGENSTER (4291)."
"95790","paketboot","From 28-09 till 24-11-1793 the HAASJE was at Plymouth. Early in May, 1797, the HAASJE, which had been severely damaged during a storm, cast anchor off the mouth of the Delagoa River; on 27-05-1797 it was taken there by an English fishing-boat, assisted by a Portuguese ship."
"98562","","Aboard the KRONENBURG was Christiaan Blom, commandeur of the return fleet."
"94682","","3620/- Is the fifth voyage of this ship, which during its four preceding voyages was called EENDRACHT (see 3523/7397). In 1756 the ship was wrecked at Ceylon."
"95310","","The TEMPEL called at Ile de Rhé, 27-02 till 12-04-1776."
"93522","",""
"95001","","The DUINENBURG did not call at the Cape but at False Bay. Between patria and False Bay a mutiny broke out, which was suppressed. The 74 persons who disembarked at False Bay included a number of mutineers; they were handed over to the law."
"91362","jacht","Wrecked on the coast of Portugal, 22-01-1626; 198 men were taken prisoner in Lisbon."
"91673","fluit","Stayed in the Indies and was laid up, 1649."
"95166","","The BOT called at S. Tiago, 30-10 till 06-11-1771: 3 seafarers and 8 soldiers deserted or died."
"96946","fluit",""
"92811","fluit",""
"97292","",""
"94247","","From 03 till 08-03-1741 the RUITER was at Mountsbay where 4 seafarers and 1 soldier deserted. From 10 till 22-05-1741 the ship called at Plymouth where 17 seafarers and 3 soldiers died and 11 seafarers and 7 soldiers deserted. The diminished crew was enlarged by 37 seafarers from Amsterdam. The ship also called at S. Tiago (04 till 17-07-1741) where 1 seafarer and 1 soldier deserted and 2 soldiers became seafarers."
"97220","",""
"98023","","The 22 passengers aboard the AMSTERDAM included admiraal Adriaan Valkenier with 5 servants and 13 lijfschutten (bodyguards). At the Cape this former Gouverneur-Generaal was arrested; he was accused by the future G.-G. Van Imhoff of being responsible for the notorious 'Chinese Murders' in Batavia in 1740. In August, 1742, Valkenier was transported back to Batavia (see 3241). The AMSTERDAM was wrecked off the Shetland Islands."
"94550","","Some of the 20 persons who disembarked at the Cape went over to the STRALEN (see 3484). During the voyage 3 soldiers probably became seafarers."
"96568","hoeker","Joined the fleet of 04-02-1674 at the Cape."
"93407","",""
"96744","pinas","First return fleet (5835-5839) under command of Jakob Kouper aboard the LANDS WELVAREN (5839). At the Cape the EENHOORN (5840) and the ships from Ceylon (5841-5845) joined the fleet."
"97129","","The BENNEBROEK was wrecked in Struys Baai, east of Cape Agulhas."
"91317","jacht",""
"98488","","The VISVLIET was lost between Bengal and the Cape."
"92630","buis","On 29-11-1688 the ship was wrecked at Hanglip (Shetland Islands)."
"95892","","Ran ashore on the coast of Madagascar, 1606; the crew returned to Bantam."
"97342","fluit",""
"95974","",""
"91126","",""
"98280","","Crew at the Cape: 119."
"92249","fluit","The ship was sold at Batavia in December 1680."
"94988","","The KIEVITSHEUVEL called at S. Tiago, 20 till 25-12-1765; 3 soldiers died, one seafarer, one soldier and one craftsman deserted. At the Cape 2 seafarers and 3 soldiers died. The KIEVITSHEUVEL was laid up in the Indies, 22-12-1768."
"93307","fregat",""
"97616","",""
"96574","",""
"91528","fluit","Stayed in the Indies and was laid up in 1648."
"96831","pinas","First return fleet (5922-5927). At the Cape the ships of 23-01-1694 joined this fleet. The combined fleet was under command of Hendrik Prank and Adriaan van Laren. The 10 'passengers' aboard the BANTAM were French prisoners."
"97273","",""
"98062","",""
"92754","jacht","Laid up at Batavia in 1701."
"98912","",""
"97808","",""
"91756","","Total number of those on board together with the HOF VAN ZEELAND at the arrival: seafarers, 411; soldiers, 236; deaths 52. The MIDDELBURG stayed in the Indies and was used at Onrust in 1649."
"96130","","Joined, together with the SNOEK, the return fleet of Caron at the Cape."
"98059","",""
"98171","",""
"96716","",""
"92285","fluit","Acc. to K.A. 3985 departure on 17-12-1671. Via Guinea, S. Tomé, Annabon, Ascension and Corisco. The ship was laid up and sold at Batavia on 16-06-1685."
"92926","","On 01-04-1702 at Dasseneiland."
"96067","jacht","Departure from Surat with a crew of 100 men 27-11-1634; joined at the Cape the return fleet of Pieter Vlak."
"94629","fluit","The DRIE HEUVELEN called at Portsmouth from 09 till 21-10-1752. On 19-05-1753 the ship departed from the Cape; it arrived at Madagascar; on 17-12-1753 it returned to the Cape. In 1758 the DRIE HEUVELEN, sailing from Banda, was wrecked on a reef."
"98521","","The six passengers included one slave."
"98157","",""
"95713","hoeker","At Batavia, before sailing back to Texel in 1791/2, the ship's name was altered into TEXELSTROOM (see )."
"98320","","Crew at the Cape: 102."
"91247","jacht",""
"91135","",""
"93809","",""
"96343","",""
"92136","hoeker","Stayed for some time for service at the Cape. Sold at Batavia in 1672."
"96172","",""
"92604","fluit",""
"92885","",""
"93258","fluit","The passengers were stowaways."
"93376","jacht","Due to a storm at Glückstad on 16-01-1718."
"97663","",""
"93272","fluit",""
"96736","fluit",""
"95564","","The GANGES was bound for China. On 02-02-1786 the ship ran aground at Padstow in Cornwall and was wrecked."
"92195","","Via 'Salt Islands' (= Cape Verde Islands)."
"91781","fluit","For the total number of those on board at the arrival in Batavia see the JONGE PRINS (0668). The ship sailed via Mauritius, stayed in the Indies and was laid up in Batavia in 1657."
"95464","",""
"94391","","3702/- Is the sixth voyage of the ROZENBURG, which during its five preceding voyages was called OVERNES (see 3646/7461). The ship was sold in the Indies on 06-08-1762."
"91791","","For the total number of those on board at the arrival in Batavia see the JONGE PRINS (0668)."
"91747","jacht","Stayed in the Indies, was used till 1654."
"96490","","Third return fleet (5581-5583). Joined the fleet of 01-12-1668 at the Cape."
"92707","galjoot","The ship was laid up at Tjeribon in 1702."
"97039","","Commandeur of the return fleet (6153-6166) was Meindert de Boer aboard the LIEFDE (6157); Dirk Blauw, master of the ELLEMEET (61 54), was vice-commandeur; schout-bij-nacht was Jan Koenraad de Lamer aboard the WATERINGEN (6158)."
"98886","","The 16 passengers included 3 slaves. At Toulon the VREEBURG was sold to S. Bérard."
"97490","",""
"94008","","At Robben Island 21-02-1735. Wrecked on 10-03-1740 at the island of Watubela near Banda."
"98439","","Crew at the Cape: 106."
"92217","fluit","Via S. Tiago."
"92975","",""
"98397","","Crew at the Cape: 125."
"95170","","On 18-11-1771 the LEIDERDORP set out for the first time; it had to return to Texel the next day. A second attempt to depart, 07-12-1771, also failed; back at Texel: 22-12. The third and final date of departure was 30-12-1771. In 1776 the LEIDERDORP was sold in the Indies."
"98945","","The CONJUNCTURE flew the Swedish flag. See LA DAME JEANNE (8111). The CONJUNCTURE had sailed on its own account from Martinique (departure: 10-10-1783) via the Cape (arrival: 18-03-1784) to Mauritius. There it had officially entered the Company's service. On 04-10-1784 the ship arrived at Batavia."
"91493","",""
"96448","fluit","Return fleet (5538-5542) under command of Jakob Kauw aboard the WASSENDE MAAN (5540), with 356 men and 11 passengers. At the Cape the KALF and the VENENBURG (5536 and 5537) joined the fleet."
"96648","pinas",""
"92347","fluit",""
"98972","","The ELISABETH ET SOPHIE flew the French flag. See LA DAME JEANNE (8111). The ELISABETH ET SOPHIE had sailed on its own account from Lorient in France (departure: 04-11-1783) via the Cape (05 till 26-04-1784) to Mauritius. There it had officially entered the Company's service. From Mauritius the ship had sailed on to Batavia."
"91140","jacht","Ran aground off Halmaheira, 1607."
"97699","","The master died and was succeeded by Jan Scouring."
"94441","","The KRABBENDIJKE called at Portsmouth from 05 till 21-08-1746."
"93990","fluit","One soldier became a seafarer. One seafarer went to the IEPENBURG (2949). The ship was laid up at Batavia on 18-09-1742."
"91259","jacht","Stayed in the Indies; wrecked on the African coast 21-06-1622."
"99206","","The GUSTAAF WILLEM did not call at the Cape but at False Bay. The 11 passengers included eight condemned persons; five criminals disembarked at False Bay."
"93124","jacht","At Saldanha Bay from 02-03 till 24-03-1709."
"91047","",""
"98515","","Crew at the Cape: 112"
"96557","hoeker","Sailed via Bergen (Norway)."
"93816","","At Portsmouth from 12-05 till 21-05-1728. The master died; he was succeeded by Blaquire."
"98339","","Crew at the Cape: 100."
"92980","fluit",""
"92354","pinas","A conspiracy of seven men to sail the ship to Brazil was discovered; four of them were hanged at the Cape, the other three got a sentence of 20 years penal servitude."
"93652","",""
"93037","pinas","Among the passengers was the reverend Francois Valentijn. Laid up at Batavia in 1713."
"95092","","4041/7798 Is the fifth voyage of this ship, which during its first three voyages was called TORENVLIET (numbers of the third voyage: 3783/7616). See the JONKVROUWE KORNELIA JAKOBA (4024). The following data refer to the crew of the BARBARA THEODORA as well as to the crew of the GOUVERNEUR-GENERAAL (see 4044): 357 seafarers, 172 soldiers, 14 craftsmen, and 9 passengers departed from the Republic or embarked at the Cape; 328 seafarers, 141 soldiers, 14 craftsmen, and 4 passengers arrived at Batavia."
"94845","","The 4 passengers who embarked at Rammekens included one female slave. The passenger who came aboard at the Cape was a Chinese, released from exile."
"98547","","Crew at the Cape: 104."
"96990","","Aboard the WESTHOVEN were Adolf Winkler, commandeur of the return fleet, and his family."
"94517","","From 13 till 22-02 the DIEMEN was at Duins. The ship did not call at the Cape but at False Bay from 08-06 till 03-07-1749."
"92449","","Wrecked between the Cape and India on 36° S. in August 1680. All hands lost."
"91460","","No ports of call at all. 03-03 is the date of the second departure."
"95969","",""
"94624","","From 25 till 31-07-1752 the GOUVERNEUR-GENERAAL called at S. Tiago."
"96338","fluit",""
"93818","",""
"92179","","According to Raven Hart, vol. I the ship arrived at the Cape on 23-07-1668 and left on 11-08-1668."
"92578","","Via S. Tiago."
"93844","",""
"96900","fluit",""
"91519","",""
"95473","","In 1785 the VROUWE EVERHARDINA was wrecked during a voyage to Japan. The following data refer to the VROUWE EVERHARDINA as well as to the GOUVERNEUR-GENERAAL DE CLERCK (4430) and the VREDE (4442): 559 seafarers, 212 soldiers, and 14 craftsmen departed from Rammek-ens; 438 seafarers, 201 soldiers, and 9 passengers arrived at Batavia."
"92106","fluit",""
"95547","","According to K.A. 4293 the departing crew consisted of 185 men. Originally the VROUWE KATHARINA JOHANNA put to sea on 15-09-1785; nine days later, however, the ship returned to Texel. The following data refer to both the VROUWE KATHARINA JOHANNA and the HOLLAND (4514): 438 seafarers, 70 soldiers, 11 craftsmen, and 23 passengers including 20 Chinese departed from Texel; 353 seafarers, 63 soldiers, 17 craftsmen, and 21 passengers (incl. the 20 Chinese) arrived at Batavia."
"94565","","The 96 soldiers missing in the columns possibly disembarked at Bantam."
"94358","","From 07 till 13-03-1745 the SCHONAUWEN was at S. Tiago: 16 seafarers and 27 soldiers were taken over by the SCHELLAG (see 3318). The SCHONAUWEN did not call at the Cape but at False Bay. The ship was sold at Batavia on 29-01-1754."
"91450","","No ports of call."
"98068","",""
"91985","",""
"97189","fregat",""
"91522","jacht",""
"94128","","From 30-11 till 05-12-1737 the ship was at S. Tiago: one seafarer deserted."
"98993","hoeker",""
"91304","jacht",""
"97395","fluit",""
"91483","fluit",""
"91748","fluit","November 25th at Mauritius."
"93693","",""
"95871","","Return fleet (5044-5045) under command of Gerard Le Roy. The fleet left St. Helena February 20th."
"97038","galjoot","The HAZELNOOT sunk in the Spanish Sea."
"99077","","The 11 passengers included a male and a female slave."
"95846","",""
"91632","jacht","Lost in action against the Portuguese off Malacca, 18-01-1642."
"97170","fluit",""
"91255","jacht","April 19th St. Paul sighted by the Dutch for the first time. May llth on the west coast of Australia. The ship stayed in the Indies."
"97430","",""
"93832","",""
"97241","",""
"96211","",""
"98969","hoeker","According to K.A. 4293 Hendrik Holder was master of the EIK EN LINDE."
"91547","fluit","Acc. to K.A. 3979 the ship left the Wielingen on 31-06-1666. The ship returned to the Maas on 30-07 and set out again on 01-08. Via S. Vincente: two seafarers deserted. The ship was wrecked near Banda, 28-06-1670."
"91974","galjoot","On 17-08-1661 wrecked in a battle against the Chinese."
"98806","","The 4 passengers included one condemned person."
"98433","","The 11 passengers included one female slave and one condemned person."
"98182","",""
